============================================================
  배달 탭 내부 요소 상세 스캔
  시간: 2026-02-17 11:15:21
============================================================

[1] 메인 창 연결...
  연결: "메인"

[2] 배달 탭 클릭 (id=198354)...
  [OK] 클릭 성공

[3] 전체 요소 덤프 (빈 텍스트 포함):
------------------------------------------------------------
  [81] type=Pane  id="198456"  text=""  pos=(735,355)  size=(315x22)
  [82] type=Pane  id="198468"  text=""  pos=(735,334)  size=(315x21)
  [83] type=Pane  id="264002"  text=""  pos=(735,292)  size=(315x21)
  [84] type=Pane  id="198334"  text=""  pos=(392,194)  size=(112x50)
  [85] type=Pane  id="198348"  text=""  pos=(674,832)  size=(46x50)
  [86] type=Pane  id="1575580"  text=""  pos=(56,822)  size=(1004x60)
  [87] type=Pane  id="263868"  text=""  pos=(109,832)  size=(562x50)
  [88] type=Pane  id="133158"  text=""  pos=(1154,832)  size=(92x50)
  [89] type=Pane  id="133154"  text=""  pos=(1059,832)  size=(92x50)
  [90] type=Pane  id="133152"  text=""  pos=(964,832)  size=(92x50)
  [91] type=Pane  id="133150"  text=""  pos=(869,832)  size=(92x50)
  [92] type=Pane  id="133148"  text="라이더 호출시간설정"  pos=(774,832)  size=(92x50)
  [93] type=Pane  id="133146"  text="방문예약"  pos=(679,832)  size=(92x50)
  [94] type=Pane  id="133144"  text="간이영수증"  pos=(584,832)  size=(92x50)
  [95] type=Pane  id="133142"  text="영수증관리"  pos=(489,832)  size=(92x50)
  [96] type=Pane  id="133140"  text="매출관리"  pos=(394,832)  size=(92x50)
  [97] type=Pane  id="133138"  text="배달앱 영업일시중지"  pos=(299,832)  size=(92x50)
  [98] type=Pane  id="133136"  text="자동수락 시간설정"  pos=(204,832)  size=(92x50)
  [99] type=Pane  id="133134"  text="매장관리"  pos=(109,832)  size=(92x50)
  [100] type=Pane  id="395398"  text=""  pos=(722,832)  size=(50x50)
  [101] type=Pane  id="723074"  text=""  pos=(56,832)  size=(50x50)
  [102] type=Pane  id="1510070"  text="새 주문등록"  pos=(775,832)  size=(285x50)
  [103] type=Pane  id="198350"  text=""  pos=(56,194)  size=(112x50)
  [104] type=Pane  id="198336"  text=""  pos=(504,194)  size=(116x50)
  [105] type=Pane  id="198346"  text=""  pos=(280,194)  size=(112x50)
  [106] type=Pane  id="198354"  text=""  pos=(168,194)  size=(112x50)
  [107] type=Pane  id="132770"  text=""  pos=(46,150)  size=(1024x34)
  [108] type=Pane  id="132776"  text=""  pos=(46,184)  size=(1024x10)
  [109] type=Pane  id="132774"  text=""  pos=(1060,184)  size=(10x708)
  [110] type=Pane  id="198296"  text=""  pos=(46,184)  size=(10x708)
  [111] type=Pane  id="132680"  text=""  pos=(54,882)  size=(1024x10)

  총 111개 요소

[4] 숫자 포함 요소:
------------------------------------------------------------
  type=Pane  id="198652"  text="+7일"  pos=(295,246)  size=(111x30)
  type=Pane  id="264182"  text="+30일"  pos=(410,246)  size=(111x30)

[5] 서브탭 후보 (빈 텍스트, 크기 40~200 x 20~60):
------------------------------------------------------------
  id="133086"  type=Pane  pos=(526,246)  size=(85x30)
  id="264142"  type=Pane  pos=(65,278)  size=(191x30)
  id="264920"  type=Pane  pos=(65,260)  size=(126x34)
  id="133094"  type=Pane  pos=(201,260)  size=(126x34)
  id="133092"  type=Pane  pos=(337,260)  size=(126x34)
  id="133090"  type=Pane  pos=(473,260)  size=(126x34)
  id="264190"  type=Pane  pos=(526,246)  size=(85x30)
  id="133028"  type=Pane  pos=(639,633)  size=(123x22)
  id="133024"  type=Pane  pos=(639,611)  size=(123x22)
  id="133012"  type=Pane  pos=(639,589)  size=(123x22)
  id="133008"  type=Pane  pos=(639,567)  size=(123x22)
  id="132982"  type=Pane  pos=(639,313)  size=(96x21)
  id="132980"  type=Pane  pos=(639,440)  size=(96x21)
  id="132978"  type=Pane  pos=(639,419)  size=(96x21)
  id="132976"  type=Pane  pos=(639,398)  size=(96x21)
  id="132974"  type=Pane  pos=(639,377)  size=(96x21)
  id="198492"  type=Pane  pos=(639,355)  size=(96x22)
  id="198496"  type=Pane  pos=(639,334)  size=(96x21)
  id="264034"  type=Pane  pos=(639,292)  size=(96x21)
  id="198334"  type=Pane  pos=(392,194)  size=(112x50)
  id="198348"  type=Pane  pos=(674,832)  size=(46x50)
  id="133158"  type=Pane  pos=(1154,832)  size=(92x50)
  id="133154"  type=Pane  pos=(1059,832)  size=(92x50)
  id="133152"  type=Pane  pos=(964,832)  size=(92x50)
  id="133150"  type=Pane  pos=(869,832)  size=(92x50)
  id="395398"  type=Pane  pos=(722,832)  size=(50x50)
  id="723074"  type=Pane  pos=(56,832)  size=(50x50)
  id="198350"  type=Pane  pos=(56,194)  size=(112x50)
  id="198336"  type=Pane  pos=(504,194)  size=(116x50)
  id="198346"  type=Pane  pos=(280,194)  size=(112x50)
  id="198354"  type=Pane  pos=(168,194)  size=(112x50)
